title,url,categories
Last zone ala Ela padukunav ra payana 😂😅 #freefireteluguvideo,https://www.youtube.com/watch?v=7rS8SbpU7uA,Funny
Only red numbers challenge 😅😅 #freefireteluguvideo,https://www.youtube.com/watch?v=maZrd0GYkaU,"Headshots"
After long time mawa 16kills thu vacha mawa 🤫🤫🤫 #freefireteluguvideo,https://www.youtube.com/watch?v=udOMGamf4Mw,Gameplay
Fist Challenge thu vacha mawa mana subscribers Kosam 😜😝😛 #freefiretelugucomedyvideo ,https://www.youtube.com/watch?v=BQD8EML6Ysk,"Challenges"
FIRST GAME HACKER VACHADU MAWA ! MARE DARUNAM GA VUNNADU HACKER 😂😂😂 #FREEFIRETELUGUCOMEDYVIDEO,https://www.youtube.com/watch?v=aYE7efp5chI,Funny
E MATCH 27 kills KOTTASA MAMA 😁 MAMULAGA VUNDHADHU GAME 🤭🤭 #FREEFIRE TELUGU SOLO VS SQUAD GAMEPLAY,https://www.youtube.com/watch?v=G3HjaRcaEGU,"Gameplay"
RANDOM PLAYER AND MAWA GADU ENTRY 🤣😁😁🤣MUST WATCH 😁 #freefiretelugucomedy,https://www.youtube.com/watch?v=y_PyA7MAdwg,Funny
Nipu lo nipu la vastadu anta mawa edu 🤣🤣🤣 #freefiretelugugameplay @TMT_OFFICIAL-y2x,https://www.youtube.com/watch?v=z9mmYjxE-YU,"Funny"
Focus on career gf is temporary success is pregnancy 🤭 #freefiretelugusolovssqu@TMT_OFFICIAL-y2x,https://www.youtube.com/watch?v=TV24U-hSl_o,Challenges
Solo VS Squad op onetaps gameplay 😎😎😎 Dangerous gameplay ✅✅ @TMT_OFFICIAL-y2x,https://www.youtube.com/watch?v=YW5PQLmqWI0,"Headshots"
One of my waste games 🥸🥸🥸 almost 4games dhobeta mawa 🤣🤣🤣 @TMT_OFFICIAL-y2x,https://www.youtube.com/watch?v=DOi5cSDYEy8,Funny
M1887 FULL GAMEPLAY VIDEO😗 FOR SUBSCRIBERS 😉😊😊 22 KILLS CHALLENGE 🥸 #FREEFIRETELUGUVIDEO,https://www.youtube.com/watch?v=NqjvrDj-tMU,"Gameplay"

